Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
2014-09-01,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,2,19,21,0,0,,,,184945
2014-09-01,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,thahasee,0,3,3,0,0,,,,29219
2014-09-01,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,arifha,10,0,10,0,0,10,2255,16,210
2014-09-01,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,eshanan,8,0,8,0,0,8,10543,3,2576
2014-09-01,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,haritas,2,0,2,0,0,2,1847,4,936
2014-09-01,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,maryjert,6,0,6,0,0,6,7437,3,1766
2014-09-01,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sanjanak,4,0,4,0,0,4,1107,13,107
2014-09-01,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,4457,1,594
2014-09-01,2014-09-06,2014-09,SMB-SMBOther-Tech-FL,SMB - Agents,sanjanak,1,0,1,0,0,1,281,13,1267
2014-09-01,2014-09-06,2014-09,SMB-SocialMedia-Tech-FL,SMB - Agents,arifha,7,0,7,0,0,7,10,"2,520",987
2014-09-01,2014-09-06,2014-09,SMB-SocialMedia-Tech-FL,SMB - Agents,sanjanak,1,0,1,0,0,1,164,22,86
2014-09-01,2014-09-06,2014-09,SMB-TechSupport-Tech-FL,SMB - Agents,arifha,1,0,1,0,0,1,268,13,223
2014-09-01,2014-09-06,2014-09,SMB-TechSupport-Tech-FL,SMB - Agents,haritas,1,0,1,0,0,1,218,17,455
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,amreenb,3,2,5,0,0,5,5012,4,6114
2014-09-01,2014-09-06,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ancilava,3,1,4,0,0,4,1577,9,2531
